SK_Date,Date,Day,DayName,DayOfWeek,Month,MonthName,Year,IsWeekend
20160101,2016-01-01,1,Friday,6,1,January,2016,false
20160102,2016-01-02,2,Saturday,7,1,January,2016,true
20160103,2016-01-03,3,Sunday,1,1,January,2016,true
20160104,2016-01-04,4,Monday,2,1,January,2016,false
20160105,2016-01-05,5,Tuesday,3,1,January,2016,false
20160106,2016-01-06,6,Wednesday,4,1,January,2016,false
20160107,2016-01-07,7,Thursday,5,1,January,2016,false
20160108,2016-01-08,8,Friday,6,1,January,2016,false
20160109,2016-01-09,9,Saturday,7,1,January,2016,true
20160110,2016-01-10,10,Sunday,1,1,January,2016,true
20160111,2016-01-11,11,Monday,2,1,January,2016,false
20160112,2016-01-12,12,Tuesday,3,1,January,2016,false
20160113,2016-01-13,13,Wednesday,4,1,January,2016,false
20160114,2016-01-14,14,Thursday,5,1,January,2016,false
20160115,2016-01-15,15,Friday,6,1,January,2016,false
20160116,2016-01-16,16,Saturday,7,1,January,2016,true
20160117,2016-01-17,17,Sunday,1,1,January,2016,true
20160118,2016-01-18,18,Monday,2,1,January,2016,false
20160119,2016-01-19,19,Tuesday,3,1,January,2016,false
20160120,2016-01-20,20,Wednesday,4,1,January,2016,false
20160121,2016-01-21,21,Thursday,5,1,January,2016,false
20160122,2016-01-22,22,Friday,6,1,January,2016,false
20160123,2016-01-23,23,Saturday,7,1,January,2016,true
20160124,2016-01-24,24,Sunday,1,1,January,2016,true
20160125,2016-01-25,25,Monday,2,1,January,2016,false
20160126,2016-01-26,26,Tuesday,3,1,January,2016,false
20160127,2016-01-27,27,Wednesday,4,1,January,2016,false
20160128,2016-01-28,28,Thursday,5,1,January,2016,false
20160129,2016-01-29,29,Friday,6,1,January,2016,false
20160130,2016-01-30,30,Saturday,7,1,January,2016,true
20160131,2016-01-31,31,Sunday,1,1,January,2016,true
20160201,2016-02-01,1,Monday,2,2,February,2016,false
20160202,2016-02-02,2,Tuesday,3,2,February,2016,false
20160203,2016-02-03,3,Wednesday,4,2,February,2016,false
20160204,2016-02-04,4,Thursday,5,2,February,2016,false
20160205,2016-02-05,5,Friday,6,2,February,2016,false
20160206,2016-02-06,6,Saturday,7,2,February,2016,true
20160207,2016-02-07,7,Sunday,1,2,February,2016,true
20160208,2016-02-08,8,Monday,2,2,February,2016,false
20160209,2016-02-09,9,Tuesday,3,2,February,2016,false
20160210,2016-02-10,10,Wednesday,4,2,February,2016,false
20160211,2016-02-11,11,Thursday,5,2,February,2016,false
20160212,2016-02-12,12,Friday,6,2,February,2016,false
20160213,2016-02-13,13,Saturday,7,2,February,2016,true
20160214,2016-02-14,14,Sunday,1,2,February,2016,true
20160215,2016-02-15,15,Monday,2,2,February,2016,false
20160216,2016-02-16,16,Tuesday,3,2,February,2016,false
20160217,2016-02-17,17,Wednesday,4,2,February,2016,false
20160218,2016-02-18,18,Thursday,5,2,February,2016,false
20160219,2016-02-19,19,Friday,6,2,February,2016,false
20160220,2016-02-20,20,Saturday,7,2,February,2016,true
20160221,2016-02-21,21,Sunday,1,2,February,2016,true
20160222,2016-02-22,22,Monday,2,2,February,2016,false
20160223,2016-02-23,23,Tuesday,3,2,February,2016,false
20160224,2016-02-24,24,Wednesday,4,2,February,2016,false
20160225,2016-02-25,25,Thursday,5,2,February,2016,false
20160226,2016-02-26,26,Friday,6,2,February,2016,false
20160227,2016-02-27,27,Saturday,7,2,February,2016,true
20160228,2016-02-28,28,Sunday,1,2,February,2016,true
20160229,2016-02-29,29,Monday,2,2,February,2016,false
20160301,2016-03-01,1,Tuesday,3,3,March,2016,false
20160302,2016-03-02,2,Wednesday,4,3,March,2016,false
20160303,2016-03-03,3,Thursday,5,3,March,2016,false
20160304,2016-03-04,4,Friday,6,3,March,2016,false
20160305,2016-03-05,5,Saturday,7,3,March,2016,true
20160306,2016-03-06,6,Sunday,1,3,March,2016,true
20160307,2016-03-07,7,Monday,2,3,March,2016,false
20160308,2016-03-08,8,Tuesday,3,3,March,2016,false
20160309,2016-03-09,9,Wednesday,4,3,March,2016,false
20160310,2016-03-10,10,Thursday,5,3,March,2016,false
20160311,2016-03-11,11,Friday,6,3,March,2016,false
20160312,2016-03-12,12,Saturday,7,3,March,2016,true
20160313,2016-03-13,13,Sunday,1,3,March,2016,true
20160314,2016-03-14,14,Monday,2,3,March,2016,false
20160315,2016-03-15,15,Tuesday,3,3,March,2016,false
20160316,2016-03-16,16,Wednesday,4,3,March,2016,false
20160317,2016-03-17,17,Thursday,5,3,March,2016,false
20160318,2016-03-18,18,Friday,6,3,March,2016,false
20160319,2016-03-19,19,Saturday,7,3,March,2016,true
20160320,2016-03-20,20,Sunday,1,3,March,2016,true
20160321,2016-03-21,21,Monday,2,3,March,2016,false
20160322,2016-03-22,22,Tuesday,3,3,March,2016,false
20160323,2016-03-23,23,Wednesday,4,3,March,2016,false
20160324,2016-03-24,24,Thursday,5,3,March,2016,false
20160325,2016-03-25,25,Friday,6,3,March,2016,false
20160326,2016-03-26,26,Saturday,7,3,March,2016,true
20160327,2016-03-27,27,Sunday,1,3,March,2016,true
20160328,2016-03-28,28,Monday,2,3,March,2016,false
20160329,2016-03-29,29,Tuesday,3,3,March,2016,false
20160330,2016-03-30,30,Wednesday,4,3,March,2016,false
20160331,2016-03-31,31,Thursday,5,3,March,2016,false
20160401,2016-04-01,1,Friday,6,4,April,2016,false
20160402,2016-04-02,2,Saturday,7,4,April,2016,true
20160403,2016-04-03,3,Sunday,1,4,April,2016,true
20160404,2016-04-04,4,Monday,2,4,April,2016,false
20160405,2016-04-05,5,Tuesday,3,4,April,2016,false
20160406,2016-04-06,6,Wednesday,4,4,April,2016,false
20160407,2016-04-07,7,Thursday,5,4,April,2016,false
20160408,2016-04-08,8,Friday,6,4,April,2016,false
20160409,2016-04-09,9,Saturday,7,4,April,2016,true
20160410,2016-04-10,10,Sunday,1,4,April,2016,true
20160411,2016-04-11,11,Monday,2,4,April,2016,false
20160412,2016-04-12,12,Tuesday,3,4,April,2016,false
20160413,2016-04-13,13,Wednesday,4,4,April,2016,false
20160414,2016-04-14,14,Thursday,5,4,April,2016,false
20160415,2016-04-15,15,Friday,6,4,April,2016,false
20160416,2016-04-16,16,Saturday,7,4,April,2016,true
20160417,2016-04-17,17,Sunday,1,4,April,2016,true
20160418,2016-04-18,18,Monday,2,4,April,2016,false
20160419,2016-04-19,19,Tuesday,3,4,April,2016,false
20160420,2016-04-20,20,Wednesday,4,4,April,2016,false
20160421,2016-04-21,21,Thursday,5,4,April,2016,false
20160422,2016-04-22,22,Friday,6,4,April,2016,false
20160423,2016-04-23,23,Saturday,7,4,April,2016,true
20160424,2016-04-24,24,Sunday,1,4,April,2016,true
20160425,2016-04-25,25,Monday,2,4,April,2016,false
20160426,2016-04-26,26,Tuesday,3,4,April,2016,false
20160427,2016-04-27,27,Wednesday,4,4,April,2016,false
20160428,2016-04-28,28,Thursday,5,4,April,2016,false
20160429,2016-04-29,29,Friday,6,4,April,2016,false
20160430,2016-04-30,30,Saturday,7,4,April,2016,true
20160501,2016-05-01,1,Sunday,1,5,May,2016,true
20160502,2016-05-02,2,Monday,2,5,May,2016,false
20160503,2016-05-03,3,Tuesday,3,5,May,2016,false
20160504,2016-05-04,4,Wednesday,4,5,May,2016,false
20160505,2016-05-05,5,Thursday,5,5,May,2016,false
20160506,2016-05-06,6,Friday,6,5,May,2016,false
20160507,2016-05-07,7,Saturday,7,5,May,2016,true
20160508,2016-05-08,8,Sunday,1,5,May,2016,true
20160509,2016-05-09,9,Monday,2,5,May,2016,false
20160510,2016-05-10,10,Tuesday,3,5,May,2016,false
20160511,2016-05-11,11,Wednesday,4,5,May,2016,false
20160512,2016-05-12,12,Thursday,5,5,May,2016,false
20160513,2016-05-13,13,Friday,6,5,May,2016,false
20160514,2016-05-14,14,Saturday,7,5,May,2016,true
20160515,2016-05-15,15,Sunday,1,5,May,2016,true
20160516,2016-05-16,16,Monday,2,5,May,2016,false
20160517,2016-05-17,17,Tuesday,3,5,May,2016,false
20160518,2016-05-18,18,Wednesday,4,5,May,2016,false
20160519,2016-05-19,19,Thursday,5,5,May,2016,false
20160520,2016-05-20,20,Friday,6,5,May,2016,false
20160521,2016-05-21,21,Saturday,7,5,May,2016,true
20160522,2016-05-22,22,Sunday,1,5,May,2016,true
20160523,2016-05-23,23,Monday,2,5,May,2016,false
20160524,2016-05-24,24,Tuesday,3,5,May,2016,false
20160525,2016-05-25,25,Wednesday,4,5,May,2016,false
20160526,2016-05-26,26,Thursday,5,5,May,2016,false
20160527,2016-05-27,27,Friday,6,5,May,2016,false
20160528,2016-05-28,28,Saturday,7,5,May,2016,true
20160529,2016-05-29,29,Sunday,1,5,May,2016,true
20160530,2016-05-30,30,Monday,2,5,May,2016,false
20160531,2016-05-31,31,Tuesday,3,5,May,2016,false
20160601,2016-06-01,1,Wednesday,4,6,June,2016,false
20160602,2016-06-02,2,Thursday,5,6,June,2016,false
20160603,2016-06-03,3,Friday,6,6,June,2016,false
20160604,2016-06-04,4,Saturday,7,6,June,2016,true
20160605,2016-06-05,5,Sunday,1,6,June,2016,true
20160606,2016-06-06,6,Monday,2,6,June,2016,false
20160607,2016-06-07,7,Tuesday,3,6,June,2016,false
20160608,2016-06-08,8,Wednesday,4,6,June,2016,false
20160609,2016-06-09,9,Thursday,5,6,June,2016,false
20160610,2016-06-10,10,Friday,6,6,June,2016,false
20160611,2016-06-11,11,Saturday,7,6,June,2016,true
20160612,2016-06-12,12,Sunday,1,6,June,2016,true
20160613,2016-06-13,13,Monday,2,6,June,2016,false
20160614,2016-06-14,14,Tuesday,3,6,June,2016,false
20160615,2016-06-15,15,Wednesday,4,6,June,2016,false
20160616,2016-06-16,16,Thursday,5,6,June,2016,false
20160617,2016-06-17,17,Friday,6,6,June,2016,false
20160618,2016-06-18,18,Saturday,7,6,June,2016,true
20160619,2016-06-19,19,Sunday,1,6,June,2016,true
20160620,2016-06-20,20,Monday,2,6,June,2016,false
20160621,2016-06-21,21,Tuesday,3,6,June,2016,false
20160622,2016-06-22,22,Wednesday,4,6,June,2016,false
20160623,2016-06-23,23,Thursday,5,6,June,2016,false
20160624,2016-06-24,24,Friday,6,6,June,2016,false
20160625,2016-06-25,25,Saturday,7,6,June,2016,true
20160626,2016-06-26,26,Sunday,1,6,June,2016,true
20160627,2016-06-27,27,Monday,2,6,June,2016,false
20160628,2016-06-28,28,Tuesday,3,6,June,2016,false
20160629,2016-06-29,29,Wednesday,4,6,June,2016,false
20160630,2016-06-30,30,Thursday,5,6,June,2016,false
20160701,2016-07-01,1,Friday,6,7,July,2016,false
